scenario,policy,seed,window,profile,count,passed,percent
full,once,43,full_population,200:4096,32,32,100.0
full,once,43,full_population,32:1024,64,59,92.1875
full,once,43,full_population,32:2048,32,30,93.75
full,once,43,full_population,32:256,96,91,94.79166666666667
full,once,43,full_population,32:4096,32,32,100.0
full,once,43,full_population,64:1024,64,62,96.875
full,once,43,full_population,64:2048,32,32,100.0
full,once,43,full_population,64:256,96,94,97.91666666666667
full,once,43,full_population,64:4096,32,32,100.0
full,once,43,full_population,80:1024,64,63,98.4375
full,once,43,full_population,80:2048,32,32,100.0
full,once,43,full_population,80:256,96,93,96.875
full,once,43,full_population,80:4096,32,32,100.0
