case,label,window_s,start_s,end_s,npu_utilization_pct,ssd_mean_utilization_pct,npu_link_mean_utilization_pct,compute_busy_npu_ms,admitted_request_count,admitted_compute_ms,admitted_io_gb,admitted_compute_ms_per_io_gb,admitted_io_per_compute_gbps,admitted_mean_raw_demand_gbps,inferred_compute_inventory_drop_ms
baseline,Baseline,8.0,14.5,22.5,71.26962007902564,95.43427968330867,9.54349099499763,182450.22740230564,480,187968.41530925984,1219.947265625,154.07913161964456,6.490171572803072,28.51770734854456,-5518.187906954205
baseline,Baseline,8.0,15.0,23.0,72.00180342907902,95.42254939079437,9.54245188489812,184324.61677844232,480,182166.35184625533,1213.458984375,150.12155679912107,6.661268516806739,28.71882237880352,2158.264932186983
baseline,Baseline,8.0,15.5,23.5,71.74074518328591,95.54855615736956,9.555001496718967,183656.3076692119,483,185235.35774288,1221.537109375,151.64120379253623,6.594513727074618,28.69418015465201,-1579.0500736680988
baseline,Baseline,8.0,16.0,24.0,71.77766142654846,95.45172786190592,9.545248933460234,183750.81325196408,484,185556.33249553439,1215.6007080078125,152.6457917251738,6.551114109980953,28.569210659104574,-1805.5192435703066
baseline,Baseline,8.0,16.5,24.5,71.96324707252519,95.45317405180671,9.545122210454625,184225.91250566448,484,184184.31071626456,1208.1671142578125,152.44936610396863,6.559554989018531,29.05752856222822,41.60178939992329
baseline,Baseline,8.0,17.0,25.0,72.27211380291534,95.47596190178767,9.546934823715265,185016.61133546327,493,188181.61288857102,1223.843994140625,153.76274573354496,6.503525904336394,28.278726318710344,-3165.0015531077515
baseline,Baseline,8.0,17.5,25.5,73.29798555747341,95.42979934255501,9.542926392648095,187642.84302713192,495,187754.09162283348,1216.8038330078125,154.30103565561993,6.480837900737565,28.753472360316366,-111.24859570155968
baseline,Baseline,8.0,18.0,26.0,74.5610018443256,95.48593907446741,9.549342267860021,190876.16472147353,494,190343.5397384184,1221.228271484375,155.86237575966055,6.4159165746453,28.29876635569189,532.6249830551387
baseline,Baseline,8.0,18.5,26.5,74.45874128721107,95.52335523985013,9.552610914550174,190614.37769526034,492,194106.21880779328,1216.3822021484375,159.5766679789895,6.266580275580538,28.026809004923994,-3491.841112532944
baseline,Baseline,8.0,19.0,27.0,75.8713726543616,95.45156623584404,9.545653521083599,194230.7139951657,495,205323.11617700438,1237.49462890625,165.9183897698834,6.027059456079139,28.409492062393088,-11092.402181838697
baseline,Baseline,8.0,19.5,27.5,77.51520138501844,95.28430881799906,9.528203293832117,198438.9155456472,493,209247.87940819983,1218.419189453125,171.73718308074137,5.822850835569226,27.597441630949803,-10808.963862552628
baseline,Baseline,8.0,20.0,28.0,79.26668420520386,95.36753675129722,9.536808745938243,202922.71156532186,495,206128.857165384,1217.2012939453125,169.34656427882925,5.905050416927853,27.61240160908437,-3206.1456000621256
baseline,Baseline,8.0,20.5,28.5,80.24827938390239,95.32284675715572,9.532035863800962,205435.59522279009,495,202908.13482440243,1216.7635498046875,166.7605303076122,5.996622810897552,27.710642516297504,2527.4603983876586
baseline,Baseline,8.0,21.0,29.0,80.68852239803736,95.44166598031022,9.544314725174942,206562.61733897566,502,207287.45591013247,1238.883056640625,167.31801665947103,5.976642682988647,27.939461606823894,-724.8385711568117
baseline,Baseline,8.0,21.5,29.5,80.93979244267607,95.36415582768274,9.536552698688887,207205.8686532507,493,211395.0483379722,1224.60400390625,172.62318893590324,5.792964468819482,27.515706209201387,-4189.179684721486
baseline,Baseline,8.0,22.0,30.0,80.97201544820987,95.37480815515785,9.537460293924537,207288.3595474173,485,203174.7848987087,1211.5791015625,167.69419729730112,5.963235556845914,27.29120065407047,4113.5746487086
baseline,Baseline,8.0,22.5,30.5,80.68768006874504,95.38784508567925,9.538552591290012,206560.4609759873,482,203558.79483730163,1220.6414794921875,166.76378630192573,5.996505729304446,26.973333676846707,3001.6661386856867
baseline,Baseline,8.0,23.0,31.0,79.97186997942488,95.33167551124636,9.533592907295306,204727.9871473277,480,203018.2978746197,1217.00390625,166.81811523529748,5.99455280135192,27.441078141244716,1709.6892727079976
baseline,Baseline,8.0,23.5,31.5,79.51679817275071,95.21924742529008,9.521533429446862,203563.00332224183,475,194744.61013203376,1208.998291015625,161.07930968904645,6.208121961352067,27.577842501058306,8818.393190208066
baseline,Baseline,8.0,24.0,32.0,78.04844561813519,95.23721026280072,9.523629759558107,199804.02078242606,477,196741.20957721284,1223.4169921875,160.81287969152257,6.218407393227697,27.563533422905834,3062.81120521322
adaptive_t0_i100ms,Adaptive 100 ms,8.0,0.0,8.0,78.18647786723211,94.82628474499631,9.482627704561581,200157.3833401142,468,201657.6502741527,1219.8143310546875,165.3183153700068,6.048936548632572,27.77572777696902,-1500.2669340384891
adaptive_t0_i100ms,Adaptive 100 ms,8.0,0.5,8.5,78.94157289989624,94.43745699786754,9.44434305016972,202090.42662373438,462,187671.94907484562,1186.391357421875,158.18721866170034,6.3216232541429465,27.03254522531891,14418.477548888768
adaptive_t0_i100ms,Adaptive 100 ms,8.0,1.0,9.0,78.21047933160153,94.9212954412817,9.492130379299224,200218.8270888999,465,193025.37111789247,1207.1654052734375,159.89968754461606,6.253920913516324,26.791849754987656,7193.455971007439
adaptive_t0_i100ms,Adaptive 100 ms,8.0,1.5,9.5,77.53760272881803,94.91293829175909,9.491000520233097,198496.26298577417,470,194010.59925574728,1218.72265625,159.19175561461734,6.281732343104946,26.677265981748928,4485.663730026892
adaptive_t0_i100ms,Adaptive 100 ms,8.0,2.0,10.0,77.66073501161323,95.04498571584324,9.504793372432713,198811.48162972985,476,195576.09276260147,1221.034912109375,160.1724003327127,6.2432728605102,26.37043098625077,3235.3888671283785
