case,window_kind,start_s,end_s,U_percent,all_npus_active,mixed_npus,strict_nominal_underload,disk0_mean_GiB_s,disk1_mean_GiB_s,disk2_mean_GiB_s,disk0_peak_GiB_s,disk1_peak_GiB_s,disk2_peak_GiB_s,disk0_overload_percent,disk1_overload_percent,disk2_overload_percent,internal_layer_stall_card_ms,layer_zero_stall_card_ms,SLO_1p5_percent,SLO_count
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,20.0,22.0,100.0,True,0,True,18.06830789613013,19.90160110261118,19.311086648133678,18.293684912677,20.137850032104488,19.652448449789425,0.0,0.0,0.0,0.0,0.0,100.0,93
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,22.0,24.0,93.0354189280571,True,32,False,44.722235367007066,49.693117679098165,48.39009107861941,250.26622376632687,284.8407918976318,272.1931918093048,19.592774978280794,19.592774978280794,19.592774978280794,4130.2348806480695,327.0970053953861,68.59504132231405,121
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,24.0,26.0,59.897319654366235,True,28,False,140.72401612450875,155.87537475429517,149.87179417246034,258.14363491560056,284.86244549981683,271.348068648587,59.527716539919496,59.527716539919496,59.527716539919496,22266.81999669517,3398.8954245104433,49.285714285714285,140
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,26.0,28.0,100.0,True,0,True,18.1063682235913,19.91330993152167,19.261317491762025,18.270226843643186,20.105369628826903,19.473806231762694,0.0,0.0,0.0,0.0,0.0,100.0,73
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,28.0,30.0,99.81092452410549,True,4,False,21.869284868482854,24.062201877591107,23.24341648184172,44.55659296554565,48.611110944479364,46.210809465115354,4.893880219533822,4.893880219533822,4.893880219533822,107.08622122805173,13.922083344437851,98.0952380952381,105
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,30.0,32.0,72.66799383310823,True,28,False,108.60798753143247,119.4994091949212,118.18042415435436,226.4752618450378,250.52066378022764,248.93725176161496,52.55060717172073,52.55060717172073,52.55060717172073,15544.587847083712,1947.8960997270297,43.91891891891892,148
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,32.0,34.0,91.84205254979824,True,20,False,42.767012628342805,47.00170061142264,45.89496291972176,187.34206785806577,204.74770521824337,203.79956927827146,18.14368926463849,18.14368926463849,18.14368926463849,4398.654711387797,822.4316567413225,87.25490196078431,102
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,34.0,36.0,99.8683775023561,True,4,False,21.855003950309005,23.552577134540375,23.285795949125077,43.41962577606811,47.53066557593078,47.86512461845092,4.330009661576696,4.330009661576696,4.330009661576696,77.1183307689571,7.120067723139073,100.0,94
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,36.0,38.0,99.73123806883443,True,8,False,24.623825248838717,27.109760281311164,26.17375792468734,44.088548955221555,48.54556678930663,46.487792579342646,6.842253923320095,7.9079547435958375,6.842253923320095,141.54357839538716,30.464057550583675,99.10714285714286,112
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,38.0,40.0,73.65537469354227,True,23,False,105.00433192956221,115.16370173317631,110.7333689206159,189.47843757677305,206.00541351771238,199.46775694147337,60.395682864595436,60.395682864595436,60.395682864595436,14790.105584936136,2070.4546111968084,44.285714285714285,140
