condition,policy,seed,request_id,admission_ms,completion_ms,own_compute_ms,admission_latency_ms,raw_ratio,plotted_ratio,slo_1p5_pass
full,asu_baseline,7,20000013,3184.0844479821067,3462.897869547537,32.085964974046185,278.8134215654304,8.68957570049578,8.68957570049578,False
full,asu_baseline,7,20000014,3462.897869547537,3694.6274598278073,101.00752608339441,231.72959028027026,2.2941814265300224,2.2941814265300224,False
full,asu_baseline,7,20000015,3694.6274598278073,3994.8955859644043,122.48236916054397,300.26812613659695,2.451521212355225,2.451521212355225,False
full,asu_baseline,7,20000016,3994.8955859644043,4264.704760352301,48.19209238871334,269.8091743878963,5.598619213534833,5.598619213534833,False
full,asu_baseline,7,21000006,2036.1776709902667,2206.727775304666,58.057852632638046,170.55010431439928,2.9375889148632086,2.9375889148632086,False
full,asu_baseline,7,21000007,2206.727775304666,2441.4534175788626,48.19209238871334,234.72564227419662,4.8706256698903925,4.8706256698903925,False
full,asu_baseline,7,21000008,2441.4534175788626,2686.9431336559323,101.00752608339441,245.48971607706972,2.4304101446300854,2.4304101446300854,False
full,asu_baseline,7,21000009,2686.9431336559323,2967.9535411749052,72.35128428205302,281.0104075189729,3.883972624777284,3.883972624777284,False
full,asu_baseline,7,21000010,2967.9535411749052,3210.96509373406,15.979837567787547,243.01155255915455,15.207385652593976,15.207385652593976,False
full,asu_baseline,7,21000011,3210.96509373406,4158.6715442549275,915.9373744307104,947.7064505208677,1.034684768824837,1.034684768824837,True
full,asu_baseline,7,22000008,2102.198406656912,2605.9240353045234,486.44082678401566,503.7256286476113,1.035533205503884,1.035533205503884,True
full,asu_baseline,7,22000009,2605.9240353045234,2862.9298049512036,186.90687789087698,257.00576964668016,1.3750471493977308,1.3750471493977308,True
full,asu_baseline,7,22000010,2862.9298049512036,3139.2911731633303,229.85653940820262,276.36136821212676,1.2023211039531756,1.2023211039531756,True
full,asu_baseline,7,22000011,3139.2911731633303,3384.6588455964784,58.92951067026337,245.36767243314807,4.1637486828303825,4.1637486828303825,False
full,asu_baseline,7,22000012,3384.6588455964784,3874.976291846101,458.55018171426593,490.31744624962266,1.0692776184639083,1.0692776184639083,True
full,asu_baseline,7,22000013,3874.976291846101,4140.05101597527,15.979837567787547,265.0747241291692,16.588073752608835,16.588073752608835,False
