scenario,policy,seed,request_id,npu,total_K,miss,category,admission_ms,completion_ms,TTFT_ms,SLO_base_ms,SLO_multiple
full,od_baseline,7,2000012,2,160,1024,LL,3308.891400560778,3688.393293427002,379.5018928662239,229.85653940820262,1.6510380511396539
full,od_baseline,7,2000013,2,200,256,LS,3688.393293427002,4119.704968689554,431.3116752625524,72.35128428205302,5.961354792005271
full,od_baseline,7,3000010,3,64,1024,SL,2230.4155910407767,2374.3664582408933,143.9508672001166,101.00752608339441,1.4251499148812639
full,od_baseline,7,3000011,3,160,1024,LL,2374.3664582408933,2745.1914654240722,370.82500718317897,229.85653940820262,1.6132889155032053
full,od_baseline,7,3000012,3,128,4096,LL,2745.1914654240722,3499.4753867994978,754.2839213754255,744.1386016188327,1.0136336426231918
full,od_baseline,7,3000013,3,160,256,LS,3499.4753867994978,3837.458933389447,337.9835465899491,58.92951067026337,5.735386952067468
full,od_baseline,7,3000014,3,200,256,LS,3837.458933389447,4275.986912146585,438.5279787571385,72.35128428205302,6.061094604037552
full,od_baseline,7,4000007,4,80,256,SS,2237.221386508853,2396.710583170584,159.48919666173106,32.085964974046185,4.970684122816293
full,od_baseline,7,4000008,4,80,2048,SL,2396.710583170584,2656.5803569572627,259.8697737866787,243.80186035081854,1.0659056227575099
full,od_baseline,7,4000009,4,64,1024,SL,2656.5803569572627,2803.848446058276,147.26808910101317,101.00752608339441,1.4579912488840174
full,od_baseline,7,4000010,4,80,1024,SL,2803.848446058276,2987.840784841357,183.99233878308132,122.48236916054397,1.5021944794512674
full,od_baseline,7,4000011,4,160,256,LS,2987.840784841357,3372.1795449617125,384.33876012035535,58.92951067026337,6.5220083409635015
full,od_baseline,7,4000012,4,200,1024,LL,3372.1795449617125,3868.917806088931,496.73826112721827,283.5436075005082,1.7518937051907544
full,od_baseline,7,4000013,4,160,256,LS,3868.917806088931,4170.7394967439395,301.82169065500875,58.92951067026337,5.121740995675908
full,od_baseline,7,5000007,5,64,256,SS,2105.851132629983,2211.9620409562044,106.1109083262213,26.717256165257165,3.9716244688407336
full,od_baseline,7,5000008,5,128,1024,LL,2211.9620409562044,2517.3041183056957,305.3420773494913,186.90687789087698,1.633658861541527
full,od_baseline,7,5000009,5,128,256,LS,2517.3041183056957,2806.8725239265186,289.5684056208229,48.19209238871334,6.008629035759407
full,od_baseline,7,5000010,5,160,256,LS,2806.8725239265186,3199.1422067048766,392.26968277835795,58.92951067026337,6.656591550085661
full,od_baseline,7,5000011,5,160,1024,LL,3199.1422067048766,3580.9882030949707,381.8459963900941,229.85653940820262,1.661236166581161
full,od_baseline,7,5000012,5,200,1024,LL,3580.9882030949707,4050.326497495181,469.3382944002101,283.5436075005082,1.6552596566627549
full,od_baseline,7,6000005,6,64,2048,SL,2392.12067174025,2592.972815077658,200.85214333740805,200.85214333740902,1.0
full,od_baseline,7,6000006,6,32,1024,SL,2592.972815077658,2662.992857799783,70.0200427221248,58.057852632638046,1.2060391410818738
full,od_baseline,7,6000007,6,200,2048,LL,2662.992857799783,3268.859354511492,605.8664967117088,565.9243027292647,1.0705786865660587
full,od_baseline,7,6000008,6,160,256,LS,3268.859354511492,3613.3206735017516,344.46131899025977,58.92951067026337,5.845311034698268
full,od_baseline,7,6000009,6,160,1024,LL,3613.3206735017516,4024.9972210393066,411.67654753755505,229.85653940820262,1.7910151636210705
full,od_baseline,7,7000007,7,160,1024,LL,2061.4416324708604,2365.1361286076663,303.6944961368058,229.85653940820262,1.3212349621146704
full,od_baseline,7,7000008,7,32,2048,SL,2365.1361286076663,2480.088949584666,114.95282097699965,114.952820977,1.0
full,od_baseline,7,7000009,7,160,2048,LL,2480.088949584666,2964.9199869144604,484.8310373297945,458.55018171426593,1.0573129325067083
