group,strategy,seed,npu,U_percent,active_ms,A_compute_ms,B_compute_ms
R32_A200_B10,od_baseline,7,22,99.24723721105329,2000.0,1821.5605245316037,163.38421968946204
R32_A200_B10,od_baseline,7,23,99.62002586202303,2000.0,1888.4287410744391,103.9717761660213
R32_A200_B10,od_baseline,7,24,99.52642559769043,2000.0,1708.319405217465,282.20910673634353
R32_A200_B10,od_baseline,7,25,99.81001543101151,2000.0,1639.7256474795859,356.47466114064446
R32_A200_B10,od_baseline,7,26,99.26525936689691,2000.0,1717.9491914824548,267.35599585548334
R32_A200_B10,od_baseline,7,27,99.78038416541254,2000.0,1624.7790470072414,370.8286363010093
R32_A200_B10,od_baseline,7,28,99.62122327188445,2000.0,1697.1485320191623,295.2759334185266
R32_A200_B10,od_baseline,7,29,99.46012463773081,2000.0,1929.7900492311755,59.41244352344074
R32_A200_B10,od_baseline,7,30,99.3483363803106,2000.0,1764.170064393309,222.79666321290279
R32_A200_B10,od_baseline,7,31,99.59920999002347,2000.0,1902.8655345153084,89.11866528516111
R32_A200_B10,once,7,0,97.93826975751608,2000.0,1409.2002925584948,549.5651025918269
R32_A200_B10,once,7,1,98.69014052025223,2000.0,1825.2717015964427,148.53110880860186
R32_A200_B10,once,7,2,98.78233157638118,2000.0,1767.7030791955813,207.9435523320426
R32_A200_B10,once,7,3,99.08895997135997,2000.0,1750.1769113485798,231.6022880786195
R32_A200_B10,once,7,4,99.4361455232201,2000.0,1780.7793581323594,207.9435523320426
R32_A200_B10,once,7,5,98.50405209867563,2000.0,1717.5781569988894,252.50288497462316
R32_A200_B10,once,7,6,99.79317794354971,2000.0,1951.3042262284134,44.55933264258056
R32_A200_B10,once,7,7,98.78146768631655,2000.0,1797.3920231560087,178.23733057032223
R32_A200_B10,once,7,8,99.39378059907968,2000.0,1928.4631684581527,59.41244352344074
R32_A200_B10,once,7,9,99.24846574765208,2000.0,1911.3081984811786,73.66111647186312
R32_A200_B10,once,7,10,99.69959171935598,2000.0,1785.877045089912,208.1147892972076
R32_A200_B10,once,7,11,98.72340429743421,2000.0,1736.8183118549214,237.64977409376297
R32_A200_B10,once,7,12,99.61798215253911,2000.0,1858.6816451230407,133.67799792774167
R32_A200_B10,once,7,13,98.46885312704798,2000.0,1627.7555122811755,341.62155025978427
R32_A200_B10,once,7,14,99.61975583300087,2000.0,1903.2764513748562,89.11866528516111
R32_A200_B10,once,7,15,99.46226446025744,2000.0,1900.1266239199877,89.11866528516111
R32_A200_B10,once,7,16,99.57360128415708,2000.0,1768.6753624702387,222.79666321290279
R32_A200_B10,once,7,17,99.00211536621377,2000.0,1935.482974681695,44.55933264258056
R32_A200_B10,once,7,18,100.0,2000.0,2000.0,0.0
R32_A200_B10,once,7,19,99.79032640848509,2000.0,1876.9816411228203,118.82488704688149
R32_A200_B10,once,7,20,99.10600498155358,2000.0,1893.0014343459106,89.11866528516111
R32_A200_B10,once,7,21,98.80527352101853,2000.0,1886.9868051352096,89.11866528516111
R32_A200_B10,once,7,22,98.92676683647437,2000.0,1815.1511170400254,163.38421968946204
R32_A200_B10,once,7,23,99.54067535603953,2000.0,1886.8417309547694,103.9717761660213
R32_A200_B10,once,7,24,98.08088903683469,2000.0,1679.4086740003504,282.20910673634353
R32_A200_B10,once,7,25,99.1866301435647,2000.0,1627.2579417306497,356.47466114064446
R32_A200_B10,once,7,26,99.18952488544788,2000.0,1716.434501853474,267.35599585548334
R32_A200_B10,once,7,27,99.43465821095869,2000.0,1571.9905217899377,416.7026424292362
R32_A200_B10,once,7,28,99.2506495935083,2000.0,1670.5873566866921,314.4256351834738
R32_A200_B10,once,7,29,99.41275248180727,2000.0,1928.8426061127047,59.41244352344074
R32_A200_B10,once,7,30,99.26868764628175,2000.0,1762.5770897127322,222.79666321290279
