group,strategy,seed,window,demand_kind,ssu,peak_GB_s,mean_GB_s,over40_percent,strictly_under40
X16,once,43,full,ordinary_pending_demand,3,22.585579803965565,1.8611246631300342,0.0,True
X16,once,43,full,ordinary_pending_demand,4,22.475117579596834,2.0050252005827556,0.0,True
X16,once,43,full,ordinary_pending_demand,5,18.80299125057259,1.7808498640045607,0.0,True
X16,asu_baseline,7,warm,ordinary_demand,0,26.516159499473247,24.338383952054617,0.0,True
X16,asu_baseline,7,warm,ordinary_demand,1,23.606872152041458,21.39902451962824,0.0,True
X16,asu_baseline,7,warm,ordinary_demand,2,23.54722465984959,21.81005595265728,0.0,True
X16,asu_baseline,7,warm,ordinary_demand,3,23.5025673961715,21.521318884244653,0.0,True
X16,asu_baseline,7,warm,ordinary_demand,4,25.39132520249946,23.248883543428292,0.0,True
X16,asu_baseline,7,warm,ordinary_demand,5,22.66545644393719,20.791965033048392,0.0,True
X16,asu_baseline,7,warm,ordinary_pending_demand,0,14.687893281282035,2.660613861956105,0.0,True
X16,asu_baseline,7,warm,ordinary_pending_demand,1,12.101238314262359,2.321679970831407,0.0,True
X16,asu_baseline,7,warm,ordinary_pending_demand,2,11.734783037019712,2.367829424690682,0.0,True
X16,asu_baseline,7,warm,ordinary_pending_demand,3,12.15097930228589,2.3348400170717096,0.0,True
X16,asu_baseline,7,warm,ordinary_pending_demand,4,12.632739908595966,2.5354322359444024,0.0,True
X16,asu_baseline,7,warm,ordinary_pending_demand,5,12.122530621687115,2.2603873938568446,0.0,True
X16,asu_baseline,7,full,ordinary_demand,0,27.77637725281687,24.280403661396928,0.0,True
X16,asu_baseline,7,full,ordinary_demand,1,23.606872152041436,21.26247901254416,0.0,True
X16,asu_baseline,7,full,ordinary_demand,2,24.273794125473653,21.79606362611746,0.0,True
X16,asu_baseline,7,full,ordinary_demand,3,24.130148200951254,21.572224451668458,0.0,True
X16,asu_baseline,7,full,ordinary_demand,4,25.44503924798634,23.312478100917055,0.0,True
X16,asu_baseline,7,full,ordinary_demand,5,22.665456443937185,20.722513471601726,0.0,True
X16,asu_baseline,7,full,ordinary_pending_demand,0,26.469428792045914,2.6176313694323583,0.0,True
X16,asu_baseline,7,full,ordinary_pending_demand,1,22.00716909952624,2.284428773431504,0.0,True
X16,asu_baseline,7,full,ordinary_pending_demand,2,20.723135613339387,2.3419666750819834,0.0,True
X16,asu_baseline,7,full,ordinary_pending_demand,3,23.661247330161494,2.3235761899776253,0.0,True
X16,asu_baseline,7,full,ordinary_pending_demand,4,23.601071687259726,2.5036745991548717,0.0,True
