strategy,request_id,npu,role,layer,io_start_ms,io_ready_ms,read_latency_ms,C_ms,compute_start_ms,compute_end_ms,stall_start_ms,stall_end_ms,exposed_stall_ms,prior_unready_A_layers,prior_unready_A_layer0,prior_unready_A_internal
asu_baseline,7000007,7,B,5,2153.7597494187435,2158.4787813269836,4.71903190824014,17.147176718561678,2170.906926137305,2188.054102855867,2170.906926137305,2170.906926137305,0,0,0,0
asu_baseline,7000007,7,B,6,2170.906926137305,2175.6259580455453,4.71903190824014,17.147176718561678,2188.054102855867,2205.2012795744286,2188.054102855867,2188.054102855867,0,0,0,0
asu_baseline,7000007,7,B,7,2188.054102855867,2192.773134764107,4.71903190824014,17.147176718561678,2205.2012795744286,2222.3484562929902,2205.2012795744286,2205.2012795744286,0,0,0,0
asu_baseline,12000008,12,B,1,2096.361457251527,2098.499139171482,2.1376819199549573,17.147176718561678,2113.508633970089,2130.6558106886505,2113.508633970089,2113.508633970089,0,0,0,0
asu_baseline,12000008,12,B,2,2113.508633970089,2115.6463158900438,2.1376819199549573,17.147176718561678,2130.6558106886505,2147.802987407212,2130.6558106886505,2130.6558106886505,0,0,0,0
asu_baseline,12000008,12,B,3,2130.6558106886505,2132.7934926086054,2.1376819199549573,17.147176718561678,2147.802987407212,2164.950164125774,2147.802987407212,2147.802987407212,0,0,0,0
asu_baseline,12000008,12,B,4,2147.802987407212,2149.940669327167,2.1376819199549573,17.147176718561678,2164.950164125774,2182.0973408443356,2164.950164125774,2164.950164125774,0,0,0,0
asu_baseline,12000008,12,B,5,2164.950164125774,2167.087846045729,2.1376819199549573,17.147176718561678,2182.0973408443356,2199.2445175628973,2182.0973408443356,2182.0973408443356,0,0,0,0
asu_baseline,12000008,12,B,6,2182.0973408443356,2184.2350227642905,2.1376819199549573,17.147176718561678,2199.2445175628973,2216.391694281459,2199.2445175628973,2199.2445175628973,0,0,0,0
asu_baseline,12000008,12,B,7,2199.2445175628973,2201.3821994828522,2.1376819199549573,17.147176718561678,2216.391694281459,2233.5388710000207,2216.391694281459,2216.391694281459,0,0,0,0
asu_baseline,15000008,15,B,1,2097.428721251504,2099.566403171459,2.1376819199549573,17.147176718561678,2114.575897970066,2131.7230746886275,2114.575897970066,2114.575897970066,0,0,0,0
asu_baseline,15000008,15,B,2,2114.575897970066,2116.713579890021,2.1376819199549573,17.147176718561678,2131.7230746886275,2148.8702514071892,2131.7230746886275,2131.7230746886275,0,0,0,0
asu_baseline,15000008,15,B,3,2131.7230746886275,2133.8607566085825,2.1376819199549573,17.147176718561678,2148.8702514071892,2166.017428125751,2148.8702514071892,2148.8702514071892,0,0,0,0
asu_baseline,15000008,15,B,4,2148.8702514071892,2151.007933327144,2.1376819199549573,17.147176718561678,2166.017428125751,2183.1646048443126,2166.017428125751,2166.017428125751,0,0,0,0
asu_baseline,15000008,15,B,5,2166.017428125751,2168.155110045706,2.1376819199549573,17.147176718561678,2183.1646048443126,2200.3117815628743,2183.1646048443126,2183.1646048443126,0,0,0,0
asu_baseline,15000008,15,B,6,2183.1646048443126,2185.3022867642676,2.1376819199549573,17.147176718561678,2200.3117815628743,2217.458958281436,2200.3117815628743,2200.3117815628743,0,0,0,0
