scenario,policy,seed,window,category,count,passed,percent,active_U_percent
semi,asu_baseline,43,long_2_6s,SL,121,119,98.34710743801652,99.03224255831019
semi,asu_baseline,43,long_2_6s,LS,31,21,67.74193548387096,71.41422763576955
semi,asu_baseline,43,long_2_6s,LL,141,141,100.0,99.88464444183971
semi,asu_baseline,43,full_population,SS,96,45,46.875,41.99286777249756
semi,asu_baseline,43,full_population,SL,384,371,96.61458333333333,97.69411951313793
semi,asu_baseline,43,full_population,LS,96,66,68.75,66.09059946505178
semi,asu_baseline,43,full_population,LL,384,384,100.0,99.61261179324045
semi,asu_baseline,7,warm_2_4s,SS,14,5,35.714285714285715,45.04800518188942
semi,asu_baseline,7,warm_2_4s,SL,79,78,98.73417721518987,99.13809914496485
semi,asu_baseline,7,warm_2_4s,LS,18,14,77.77777777777777,78.50357161849544
semi,asu_baseline,7,warm_2_4s,LL,64,64,100.0,99.84673858406362
semi,asu_baseline,7,long_2_6s,SS,33,18,54.54545454545455,55.34454765632166
semi,asu_baseline,7,long_2_6s,SL,141,140,99.29078014184397,99.39583238706184
semi,asu_baseline,7,long_2_6s,LS,32,26,81.25,79.73022950047876
semi,asu_baseline,7,long_2_6s,LL,132,132,100.0,99.8730555894155
semi,asu_baseline,7,full_population,SS,96,50,52.083333333333336,48.93688143357243
semi,asu_baseline,7,full_population,SL,384,380,98.95833333333333,98.97854456744606
semi,asu_baseline,7,full_population,LS,96,67,69.79166666666667,68.6798741011778
semi,asu_baseline,7,full_population,LL,384,384,100.0,99.47757309616321
semi,mild,19,warm_2_4s,SS,18,18,100.0,96.76836066666074
semi,mild,19,warm_2_4s,SL,64,64,100.0,99.6945510241391
semi,mild,19,warm_2_4s,LS,14,11,78.57142857142857,75.77164099157665
semi,mild,19,warm_2_4s,LL,71,71,100.0,99.37979458361171
semi,mild,19,long_2_6s,SS,34,34,100.0,97.56263739031793
semi,mild,19,long_2_6s,SL,122,122,100.0,99.81669129089896
semi,mild,19,long_2_6s,LS,31,26,83.87096774193549,81.15900999292069
semi,mild,19,long_2_6s,LL,142,142,100.0,99.54052048053542
semi,mild,19,full_population,SS,96,90,93.75,89.83114371806998
semi,mild,19,full_population,SL,384,382,99.47916666666667,98.77624963401703
semi,mild,19,full_population,LS,96,84,87.5,76.21820574304826
semi,mild,19,full_population,LL,384,376,97.91666666666667,98.43493658627214
semi,mild,43,warm_2_4s,SS,8,8,100.0,92.73979980472559
semi,mild,43,warm_2_4s,SL,61,61,100.0,99.79906988691138
semi,mild,43,warm_2_4s,LS,15,10,66.66666666666667,78.68164610136255
semi,mild,43,warm_2_4s,LL,74,74,100.0,99.57638475141057
