scenario,policy,seed,window,ssu_id,capacity_GiB_s,mean_demand_GiB_s,min_demand_GiB_s,max_demand_GiB_s,overload_percent,actual_GiB_s,busy_percent
semi,aggressive,7,warm_2_4s,0,40,33.540599901928466,22.693808584259017,48.82276922664182,12.105095963397435,32.54997941383191,81.37494853457977
semi,aggressive,7,warm_2_4s,1,40,36.8110497338169,24.972940849127212,53.8033385520629,37.044436957561146,35.975551797754896,89.93887949438725
semi,aggressive,7,warm_2_4s,2,40,35.65273164815728,24.04673850034789,52.913540900033496,29.808892669140935,34.67280979336036,86.6820244834009
semi,aggressive,7,long_2_6s,0,40,32.40801440621277,21.639266506192,48.82276922664182,13.960358479952038,31.56416552748403,78.91041381871008
semi,aggressive,7,long_2_6s,1,40,35.59548127775513,24.20529000738832,53.8033385520629,31.619159508534143,34.75987713448458,86.89969283621146
semi,aggressive,7,long_2_6s,2,40,34.53112576425441,24.001404424154664,52.913540900033496,26.373916060237764,33.6368506502612,84.09212662565301
semi,aggressive,7,full_population,0,40,32.58249790160659,0.551219795800689,69.14731876132493,18.142711569537852,30.827053315531874,77.06763328882968
semi,aggressive,7,full_population,1,40,36.012113022453306,0.6421124217040823,75.79651849798255,30.575106720335846,34.06076068606567,85.15190171516419
semi,aggressive,7,full_population,2,40,34.96797210183108,0.6362483813232922,70.85341919749126,27.29962572048969,33.07878856721561,82.69697141803903
semi,asu_baseline,19,warm_2_4s,0,40,32.71988245400056,23.221447417346177,54.81033034239803,12.756305522197419,31.311228986072276,78.2780724651807
semi,asu_baseline,19,warm_2_4s,1,40,36.1428521411811,25.32319340986637,62.015920945651146,29.43839748936307,34.7092945717681,86.77323642942024
semi,asu_baseline,19,warm_2_4s,2,40,35.23164660554909,25.07339258819279,60.77067416795643,19.349786452009266,33.755178498341124,84.38794624585283
semi,asu_baseline,19,long_2_6s,0,40,32.244628295170926,23.04370505064695,56.217178025326454,12.461714469792565,30.958599099725415,77.39649774931354
semi,asu_baseline,19,long_2_6s,1,40,35.61143842126341,25.265588599594146,65.03488126432781,25.7240504102351,34.238456524020734,85.59614131005182
semi,asu_baseline,19,long_2_6s,2,40,34.69413052032297,24.500774587124685,62.41698271864913,19.467074892264783,33.34043637417039,83.35109093542596
semi,asu_baseline,19,full_population,0,40,34.64199056053401,0.5819111638183851,109.24967555874015,20.283294880727222,30.683330851449647,76.70832712862412
semi,asu_baseline,19,full_population,1,40,38.26728355347448,0.6591034610595585,122.95243900532209,30.729370044337408,33.90196197104707,84.75490492761767
semi,asu_baseline,19,full_population,2,40,37.102618371270964,0.6211010993407717,117.96667430504135,27.624139363132425,32.924568020961196,82.311420052403
semi,asu_baseline,43,warm_2_4s,0,40,33.0065649116293,20.564785778576674,67.37244785118699,24.154426637644974,29.517230569011787,73.79307642252947
semi,asu_baseline,43,warm_2_4s,1,40,36.5301503491999,22.799840331875647,77.99047472428857,27.827394556562034,32.72379414434872,81.80948536087182
semi,asu_baseline,43,warm_2_4s,2,40,35.16440800672153,21.976025257360856,72.74733198066991,27.792790610129373,31.40458255875787,78.51145639689467
semi,asu_baseline,43,long_2_6s,0,40,33.52635881592797,20.564785778576674,67.37244785118699,25.21332817771697,30.27456980562036,75.6864245140509
semi,asu_baseline,43,long_2_6s,1,40,36.890517786465054,22.799840331875647,77.99047472428857,29.54627737965907,33.338076744900164,83.3451918622504
semi,asu_baseline,43,long_2_6s,2,40,35.85705140415329,21.976025257360856,72.74733198066991,30.341953186541467,32.34936657490747,80.87341643726867
semi,asu_baseline,43,full_population,0,40,35.341770916417026,0.5028594694518571,98.00383200160215,28.25602059404324,30.40457522859386,76.01143807148465
semi,asu_baseline,43,full_population,1,40,39.03538133015877,0.533031037618978,112.04461364715272,36.20830698196543,33.59396534020456,83.9849133505114
semi,asu_baseline,43,full_population,2,40,37.92271481316861,0.5732597951751314,108.61138276880496,34.23774537126325,32.62545093649685,81.56362734124211
semi,asu_baseline,7,warm_2_4s,0,40,35.49215718202122,21.10562558369751,67.54021274986255,27.68775050584221,32.234827468403644,80.5870686710091
semi,asu_baseline,7,warm_2_4s,1,40,39.00347329918982,23.509143725170894,72.40455630681144,39.14484324392268,35.49142971922946,88.72857429807365
semi,asu_baseline,7,warm_2_4s,2,40,37.928556080369624,23.03953123727415,73.52069076376637,32.53350586682867,34.386365829120614,85.96591457280154
semi,asu_baseline,7,long_2_6s,0,40,34.01947729126598,21.10562558369751,67.54021274986255,23.867771492400305,31.450614036773764,78.6265350919344
semi,asu_baseline,7,long_2_6s,1,40,37.37291938558778,23.509143725170894,72.40455630681144,31.308701375100252,34.56939367781167,86.42348419452918
