experiment,case,ssu,seed,strategy,start_ms,end_ms,seq_len_k,nql,compute_ms,active_ms,share_of_fleet_time_compute,share_of_fleet_time_active,profile_compute_fraction,all_cards_active
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,2000,3000,192,512,3628.363478519724,3663.2765872486348,0.11338635870374138,0.11447739335151984,0.99046943142365,True
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,2000,3000,192,1024,5158.519131491372,5194.832310675083,0.16120372285910536,0.16233850970859634,0.9930097494948797,True
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,2000,3000,192,2048,20509.25322737424,20552.8828149266,0.640914163355445,0.6422775879664563,0.9978772035073992,True
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,3000,4000,32,128,269.3997298726249,356.0826547986562,0.008418741558519528,0.011127582962458006,0.7565651576737277,True
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,3000,4000,32,256,175.7782132456814,188.9474936294223,0.005493069163927544,0.0059046091759194464,0.9303019048796198,True
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,3000,4000,64,512,698.2997804942456,698.2997804942456,0.021821868140445174,0.021821868140445174,1.0,True
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,3000,4000,96,512,810.093381674119,813.5385688986466,0.025315418177316217,0.025423080278082707,0.9957651826769668,True
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,3000,4000,192,512,3873.17034084227,3903.7537117969396,0.12103657315132094,0.12199230349365436,0.9921656504962779,True
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,3000,4000,192,1024,5356.860448310054,5379.994360267239,0.1674018890096892,0.16812482375835122,0.9957000118572549,True
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,3000,4000,192,2048,20601.507358104394,20659.383430114856,0.6437971049407624,0.6456057321910893,0.9971985576333272,True
multi_ssu,npu32_ssu6_near_seed20260906_baseline_none,6,20260906,baseline,0,1000,32,128,236.78321774191397,1384.3487814190826,0.007399475554434811,0.04326089941934633,0.17104303548357935,True
multi_ssu,npu32_ssu6_near_seed20260906_baseline_none,6,20260906,baseline,0,1000,32,256,159.79837567787467,570.2977978134955,0.004993699239933583,0.017821806181671736,0.28020163551487803,True
multi_ssu,npu32_ssu6_near_seed20260906_baseline_none,6,20260906,baseline,0,1000,64,512,459.8270771228262,732.397983693894,0.01436959616008832,0.02288743699043419,0.6278377157780531,True
