regime,policy,ratio,macro_cdf
full,baseline,16.09873722505385,0.9965897623273131
full,baseline,16.327982165074165,0.9982078853046595
full,baseline,16.562048125692833,1.0
full,baseline,17.0,1.0
full,once,0.9,0.0
full,once,0.9999999999999648,0.05139573070607553
full,once,0.99999999999997,0.06302377911573313
full,once,0.9999999999999906,0.06466581524052789
full,once,0.9999999999999908,0.06625311682782947
full,once,0.9999999999999932,0.08116523748707656
full,once,0.9999999999999943,0.10782703886152162
full,once,0.9999999999999952,0.12109712339597396
full,once,0.9999999999999969,0.14935838958827466
full,once,0.999999999999997,0.15258772730037098
full,once,0.9999999999999983,0.15417502888767257
full,once,0.9999999999999994,0.16950678100103386
full,once,1.0000000000000002,0.17127044943136896
full,once,1.000000000000001,0.19152830991911451
full,once,1.0000000000000016,0.1931156115064161
full,once,1.0000000000000022,0.2178495408380466
full,once,1.0000000000000047,0.2363011615885179
full,once,1.00000000000001,0.26096819315210124
full,once,1.000000000000012,0.2626102292768959
full,once,1.000000000000016,0.28416955543392325
full,once,1.0000000000000586,0.32635163899531716
full,once,1.0000000000000762,0.32799367512011196
full,once,1.0000000000001046,0.36647205497780205
full,once,1.000164831177291,0.3682357234081372
